event_id,event_type,event_action
392e14df,game,end
17113b36,game,end
070a5291,game,end
93b353f2,game,end
d122731b,game,end
25fa8af4,game,end
37c53127,game,end
77c76bc5,game,help
37937459,game,help
ecc6157f,game,help
7fd1ac25,game,help
9554a50b,game,help
16667cc5,game,help
bfc77bd6,game,help
13f56524,game,help
30df3273,game,help
6077cc36,game,help
2ec694de,game,help
3a4be871,game,help
611485c5,game,help
f54238ee,game,help
47f43a44,game,help
731c0cbe,game,help
08ff79ad,game,help
85d1b0de,game,help
4e5fc6f5,game,help
cb1178ad,game,help
6043a2b4,game,help
119b5b02,game,help
6f445b57,game,help
01ca3a3c,game,help
e4d32835,game,help
ab4ec3a4,game,help
0ce40006,game,help
26a5a3dd,game,help
29a42aea,game,help
5f5b2617,game,help
dcb1663e,game,help
92687c59,game,help
5dc079d8,game,help
47efca07,game,help
19967db1,game,help
05ad839b,game,help
e080a381,game,help
6f8106d9,game,help
6aeafed4,game,help
6f4bd64e,game,help
93edfe2e,game,help
d3640339,game,help
67aa2ada,game,help
eb2c19cd,game,help
8d748b58,game,help
e7e44842,game,help
3edf6747,game,mistake
1325467d,game,mistake
3ee399c3,game,mistake
bd612267,game,mistake
4bb2f698,game,mistake
9e34ea74,game,mistake
c952eb01,game,mistake
7da34a02,game,mistake
565a3990,game,mistake
a44b10dc,game,mistake
acf5c23f,game,mistake
884228c8,game,mistake
a16a373e,game,mistake
3d63345e,game,mistake
d38c2fd7,game,mistake
0d18d96c,game,mistake
cdd22e43,game,mistake
d3f1e122,game,mistake
587b5989,game,mistake
a7640a16,game,mistake
f3cd5473,game,mistake
7372e1a5,game,mistake
7dfe6d8a,game,mistake
a0faea5d,game,mistake
5e3ea25a,game,mistake
76babcde,game,mistake
6c517a88,game,mistake
bcceccc6,game,mistake
15a43e5b,game,mistake
d02b7a8e,game,mistake
cf82af56,game,mistake
a2df0760,game,mistake
d185d3ea,game,mistake
c58186bf,game,mistake
363c86c9,game,mistake
9ce586dd,game,mistake
17ca3959,game,quit
4074bac2,game,quit
003cd2ee,game,quit
9565bea6,game,quit
3393b68b,game,quit
2b058fe3,game,quit
222660ff,game,quit
b2e5b0f1,game,quit
a8cc6fec,game,quit
1b54d27f,game,quit
a5be6304,game,quit
b738d3d3,game,quit
ecc36b7f,game,replay
b1d5101d,game,replay
3b2048ee,game,replay
46b50ba8,game,replay
9e6b7fb5,game,replay
4b5efe37,game,start
abc5811c,game,start
8d84fa81,game,start
65abac75,game,start
0086365d,game,start
87d743c1,game,start
fd20ea40,game,start
f93fc684,game,start
cc5087a3,game,start
5be391b5,game,start
6d90d394,game,start
7040c096,game,start
dcaede90,game,start
b7dc8128,game,start
15ba1109,game,start
7d093bf9,game,start
8ac7cce4,game,start
51311d7a,game,start
29bdd9ba,game,start
d9c005dd,game,start
9c5ef70c,game,start
1cf54632,game,start
48349b14,game,start
d2278a3b,game,start
c7f7f0e1,game,start
77261ab5,game,start
7ad3efc6,game,start
3bfd1a65,game,start
e64e2cfd,game,start
90d848e0,game,start
f56e0afc,game,start
9b01374f,game,start
9b23e8ee,game,start
5b49460a,game,start
756e5507,game,start
4901243f,game,start
4a09ace1,movie,end
c189aaf2,movie,end
99ea62f3,movie,end
c1cac9a2,movie,skip
3bb91ced,movie,skip
27253bdc,movie,start
5a848010,movie,start
99abe2bb,movie,start
d51b1749,movie,start
91561152,round,action
37ee8496,round,action
5348fd84,round,action
30614231,round,action
e79f3763,round,action
022b4259,round,action
2fb91ec1,round,action
f50fc6c1,round,action
d2e9262e,round,action
598f4598,round,action
5e109ec3,round,action
5c2f29ca,round,action
9d4e7b25,round,action
fcfdffb6,round,action
5d042115,round,action
461eace6,round,action
de26c3a6,round,action
8fee50e2,round,action
51102b85,round,action
a76029ee,round,action
4a4c3d21,round,action
fbaf3456,round,action
c7128948,round,action
28ed704e,round,action
5f0eb72c,round,action
4c2ec19f,round,action
56bcd38d,round,action
02a42007,round,action
e694a35b,round,action
bb3e370b,round,action
90efca10,round,action
3bb91dda,round,action
bc8f2793,round,action
857f21c0,round,action
262136f4,round,action
1cc7cfca,round,action
2dc29e21,round,action
28f975ea,round,action
14de4c5d,round,action
86c924c4,round,action
37db1c2f,round,action
5c3d2b2f,round,action
2a444e03,round,action
a1192f43,round,action
1340b8d7,round,action
a5e9da97,round,action
e7561dd2,round,action
74e5f8a7,round,action
792530f8,round,action
1996c610,round,action
c0415e5c,round,action
3d8c61b0,round,action
6bf9e3e1,round,action
8af75982,round,action
8f094001,round,action
ad148f58,round,action
85de926c,round,action
cfbd47c8,round,action
4ef8cdd3,round,action
804ee27f,round,action
499edb7c,round,action
46cd75b4,round,action
5e812b27,round,action
9ee1c98c,round,action
84538528,round,action
a8efe47b,round,action
3d0b9317,round,action
0db6d71d,round,action
562cec5f,round,action
ecaab346,round,end
b5053438,round,end
c74f40cd,round,end
e4f1efe6,round,end
7525289a,round,end
45d01abe,round,end
d3268efa,round,end
3afb49e6,round,end
a8876db3,round,end
9d29771f,round,end
83c6c409,round,end
38074c54,round,end
6c930e6e,round,end
b74258a0,round,end
f6947f54,round,end
71e712d8,round,end
28520915,round,end
e720d930,round,end
709b1251,round,end
4d911100,round,end
cf7638f3,round,end
e5c9df6f,round,end
a8a78786,round,end
55115cbd,round,end
cb6010f8,round,end
58a0de5c,round,end
47026d5f,round,end
3afde5dd,round,end
3ddc79c3,round,end
6f4adc4b,round,end
77ead60d,round,end
9b4001e4,round,end
250513af,round,end
c7fe2a55,round,end
e3ff61fb,round,end
ca11f653,round,end
d06f75b5,round,end
2b9272f4,round,end
73757a5e,round,end
1f19558b,round,end
daac11b0,round,end
3323d7e9,round,end
56817e2b,round,end
b012cd7f,round,end
00c73085,round,end
36fa3ebe,round,end
1c178d24,round,end
16dffff1,round,end
f5b8c21a,round,end
895865f3,round,end
08fd73f3,round,end
e9c52111,round,end
df4fe8b6,round,replay
5290eab1,round,replay
88d4a5be,round,replay
e37a2b78,round,replay
31973d56,round,replay
160654fd,round,replay
ea296733,round,replay
04df9b66,round,replay
ad2fc29c,round,replay
5de79a6a,round,replay
5859dfb6,round,replay
e04fb33d,round,replay
28a4eb9a,round,replay
e57dd7af,round,replay
2230fab4,round,replay
c51d8688,round,replay
89aace00,round,replay
8b757ab8,round,replay
3bf1cf26,round,replay
7423acbc,round,replay
1af8be29,round,replay
763fc34e,round,replay
90ea0bac,round,replay
e5734469,round,replay
9de5e594,round,replay
907a054b,round,replay
44cb4907,round,replay
0330ab6a,round,replay
b120f2ac,round,replay
ac92046e,round,replay
d88e8f25,round,replay
d45ed6a1,round,replay
c277e121,round,replay
532a2afb,round,start
65a38bf7,round,start
db02c830,round,start
155f62a4,round,start
3dfd4aa4,round,start
736f9581,round,start
c54cf6c5,round,start
63f13dd7,round,start
2c4e6db0,round,start
26fd2d99,round,start
