event_id,game_session,timestamp,event_data,installation_id,event_count,event_code,game_time,title,type,world
27253bdc,0ea9ecc81a565215,2019-09-10T16:50:24.910Z,"{""event_code"": 2000, ""event_count"": 1}",00abaee7,1,2000,0,Welcome to Lost Lagoon!,Clip,NONE
27253bdc,c1ea43d8b8261d27,2019-09-10T16:50:55.503Z,"{""event_code"": 2000, ""event_count"": 1}",00abaee7,1,2000,0,Magma Peak - Level 1,Clip,MAGMAPEAK
27253bdc,7ed86c6b72e725e2,2019-09-10T16:51:51.805Z,"{""event_code"": 2000, ""event_count"": 1}",00abaee7,1,2000,0,Magma Peak - Level 2,Clip,MAGMAPEAK
27253bdc,7e516ace50e7fe67,2019-09-10T16:53:12.825Z,"{""event_code"": 2000, ""event_count"": 1}",00abaee7,1,2000,0,Crystal Caves - Level 1,Clip,CRYSTALCAVES
7d093bf9,a022c3f60ba547e7,2019-09-10T16:54:12.115Z,"{""version"":""1.0"",""round"":0,""event_count"":1,""game_time"":0,""event_code"":2000}",00abaee7,1,2000,0,Chow Time,Game,CRYSTALCAVES
f93fc684,a022c3f60ba547e7,2019-09-10T16:54:14.338Z,"{""coordinates"":{""x"":515,""y"":697,""stage_width"":1015,""stage_height"":762},""round"":0,""event_count"":2,""game_time"":2232,""event_code"":4010}",00abaee7,2,4010,2232,Chow Time,Game,CRYSTALCAVES
7ec0c298,a022c3f60ba547e7,2019-09-10T16:54:16.553Z,"{""description"":""It's Chow Time! We have some VERY hungry dinosaurs waiting. Let's feed them! Big dinosaurs eat a lot of food, small dinosaurs only eat a little!"",""identifier"":""1431,1401b"",""media_type"":""animation"",""total_duration"":10333,""round"":0,""event_count"":3,""game_time"":4445,""event_code"":3010}",00abaee7,3,3010,4445,Chow Time,Game,CRYSTALCAVES
0d1da71f,a022c3f60ba547e7,2019-09-10T16:54:23.364Z,"{""description"":""It's Chow Time! We have some VERY hungry dinosaurs waiting. Let's feed them! Big dinosaurs eat a lot of food, small dinosaurs only eat a little!"",""identifier"":""1431,1401b"",""media_type"":""animation"",""duration"":6806,""round"":0,""event_count"":4,""game_time"":11251,""event_code"":3110}",00abaee7,4,3110,11251,Chow Time,Game,CRYSTALCAVES
63f13dd7,a022c3f60ba547e7,2019-09-10T16:54:23.365Z,"{""dinosaur"":""stacey"",""diet"":""herbivore"",""target_weight"":5,""resources"":[3,1,1,3],""round"":1,""event_count"":5,""game_time"":11251,""event_code"":2020}",00abaee7,5,2020,11251,Chow Time,Game,CRYSTALCAVES
7372e1a5,a022c3f60ba547e7,2019-09-10T16:54:25.029Z,"{""coordinates"":{""x"":901,""y"":449,""stage_width"":1015,""stage_height"":762},""round"":1,""event_count"":6,""game_time"":12929,""event_code"":4070}",00abaee7,6,4070,12929,Chow Time,Game,CRYSTALCAVES
cfbd47c8,a022c3f60ba547e7,2019-09-10T16:54:26.776Z,"{""weight"":3,""source"":""resources"",""resources"":[1,1,3],""coordinates"":{""x"":336,""y"":695,""stage_width"":1015,""stage_height"":762},""round"":1,""event_count"":7,""game_time"":14663,""event_code"":4030}",00abaee7,7,4030,14663,Chow Time,Game,CRYSTALCAVES
d185d3ea,a022c3f60ba547e7,2019-09-10T16:54:26.891Z,"{""weight"":3,""resources"":[1,1,3],""coordinates"":{""x"":336,""y"":695,""stage_width"":1015,""stage_height"":762},""duration"":133,""round"":1,""event_count"":8,""game_time"":14796,""event_code"":4035}",00abaee7,8,4035,14796,Chow Time,Game,CRYSTALCAVES
cfbd47c8,a022c3f60ba547e7,2019-09-10T16:54:28.460Z,"{""weight"":1,""source"":""resources"",""resources"":[3,1,3],""coordinates"":{""x"":481,""y"":695,""stage_width"":1015,""stage_height"":762},""round"":1,""event_count"":9,""game_time"":16363,""event_code"":4030}",00abaee7,9,4030,16363,Chow Time,Game,CRYSTALCAVES
d185d3ea,a022c3f60ba547e7,2019-09-10T16:54:28.608Z,"{""weight"":1,""resources"":[3,1,3],""coordinates"":{""x"":481,""y"":695,""stage_width"":1015,""stage_height"":762},""duration"":150,""round"":1,""event_count"":10,""game_time"":16513,""event_code"":4035}",00abaee7,10,4035,16513,Chow Time,Game,CRYSTALCAVES
cfbd47c8,a022c3f60ba547e7,2019-09-10T16:54:29.479Z,"{""weight"":1,""source"":""resources"",""resources"":[3,1,3],""coordinates"":{""x"":588,""y"":695,""stage_width"":1015,""stage_height"":762},""round"":1,""event_count"":11,""game_time"":17380,""event_code"":4030}",00abaee7,11,4030,17380,Chow Time,Game,CRYSTALCAVES
d185d3ea,a022c3f60ba547e7,2019-09-10T16:54:29.592Z,"{""weight"":1,""resources"":[3,1,3],""coordinates"":{""x"":588,""y"":695,""stage_width"":1015,""stage_height"":762},""duration"":117,""round"":1,""event_count"":12,""game_time"":17497,""event_code"":4035}",00abaee7,12,4035,17497,Chow Time,Game,CRYSTALCAVES
cfbd47c8,a022c3f60ba547e7,2019-09-10T16:54:30.336Z,"{""weight"":3,""source"":""resources"",""resources"":[1,1,3],""coordinates"":{""x"":336,""y"":695,""stage_width"":1015,""stage_height"":762},""round"":1,""event_count"":13,""game_time"":18230,""event_code"":4030}",00abaee7,13,4030,18230,Chow Time,Game,CRYSTALCAVES
d185d3ea,a022c3f60ba547e7,2019-09-10T16:54:30.440Z,"{""weight"":3,""resources"":[1,1,3],""coordinates"":{""x"":336,""y"":695,""stage_width"":1015,""stage_height"":762},""duration"":117,""round"":1,""event_count"":14,""game_time"":18347,""event_code"":4035}",00abaee7,14,4035,18347,Chow Time,Game,CRYSTALCAVES
7372e1a5,a022c3f60ba547e7,2019-09-10T16:54:30.611Z,"{""coordinates"":{""x"":271,""y"":713,""stage_width"":1015,""stage_height"":762},""round"":1,""event_count"":15,""game_time"":18513,""event_code"":4070}",00abaee7,15,4070,18513,Chow Time,Game,CRYSTALCAVES
cfbd47c8,a022c3f60ba547e7,2019-09-10T16:54:31.509Z,"{""weight"":3,""source"":""resources"",""resources"":[3,1,1],""coordinates"":{""x"":752,""y"":695,""stage_width"":1015,""stage_height"":762},""round"":1,""event_count"":16,""game_time"":19413,""event_code"":4030}",00abaee7,16,4030,19413,Chow Time,Game,CRYSTALCAVES
d185d3ea,a022c3f60ba547e7,2019-09-10T16:54:31.625Z,"{""weight"":3,""resources"":[3,1,1],""coordinates"":{""x"":729,""y"":685,""stage_width"":1015,""stage_height"":762},""duration"":117,""round"":1,""event_count"":17,""game_time"":19530,""event_code"":4035}",00abaee7,17,4035,19530,Chow Time,Game,CRYSTALCAVES
7372e1a5,a022c3f60ba547e7,2019-09-10T16:54:31.746Z,"{""coordinates"":{""x"":743,""y"":686,""stage_width"":1015,""stage_height"":762},""round"":1,""event_count"":18,""game_time"":19647,""event_code"":4070}",00abaee7,18,4070,19647,Chow Time,Game,CRYSTALCAVES
