event_id,game_session,timestamp,event_data,installation_id,event_count,event_code,game_time,title,type,world
27253bdc,45bb1e1b6b50c07b,2019-09-06T17:53:46.937Z,"{""event_code"": 2000, ""event_count"": 1}",0001e90f,1,2000,0,Welcome to Lost Lagoon!,Clip,NONE
27253bdc,17eeb7f223665f53,2019-09-06T17:54:17.519Z,"{""event_code"": 2000, ""event_count"": 1}",0001e90f,1,2000,0,Magma Peak - Level 1,Clip,MAGMAPEAK
77261ab5,0848ef14a8dc6892,2019-09-06T17:54:56.302Z,"{""version"":""1.0"",""event_count"":1,""game_time"":0,""event_code"":2000}",0001e90f,1,2000,0,Sandcastle Builder (Activity),Activity,MAGMAPEAK
b2dba42b,0848ef14a8dc6892,2019-09-06T17:54:56.387Z,"{""description"":""Let's build a sandcastle! First, fill up your mold with sand! You can use the shovel here. The mold gives the sand its shape!"",""identifier"":""Dot_LetsSandcastle,Dot_FillMold,Dot_MoldShape"",""media_type"":""audio"",""total_duration"":6758,""event_count"":2,""game_time"":53,""event_code"":3010}",0001e90f,2,3010,53,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1bb5fbdb,0848ef14a8dc6892,2019-09-06T17:55:03.253Z,"{""description"":""Let's build a sandcastle! First, fill up your mold with sand! You can use the shovel here. The mold gives the sand its shape!"",""identifier"":""Dot_LetsSandcastle,Dot_FillMold,Dot_MoldShape"",""media_type"":""audio"",""duration"":6919,""event_count"":3,""game_time"":6972,""event_code"":3110}",0001e90f,3,3110,6972,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:06.279Z,"{""coordinates"":{""x"":583,""y"":605,""stage_width"":1015,""stage_height"":762},""event_count"":4,""game_time"":9991,""event_code"":4070}",0001e90f,4,4070,9991,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:06.913Z,"{""coordinates"":{""x"":601,""y"":570,""stage_width"":1015,""stage_height"":762},""event_count"":5,""game_time"":10622,""event_code"":4070}",0001e90f,5,4070,10622,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:07.546Z,"{""coordinates"":{""x"":250,""y"":665,""stage_width"":1015,""stage_height"":762},""event_count"":6,""game_time"":11255,""event_code"":4070}",0001e90f,6,4070,11255,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:07.979Z,"{""coordinates"":{""x"":279,""y"":629,""stage_width"":1015,""stage_height"":762},""event_count"":7,""game_time"":11689,""event_code"":4070}",0001e90f,7,4070,11689,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:08.566Z,"{""coordinates"":{""x"":839,""y"":654,""stage_width"":1015,""stage_height"":762},""event_count"":8,""game_time"":12272,""event_code"":4070}",0001e90f,8,4070,12272,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:08.966Z,"{""coordinates"":{""x"":807,""y"":619,""stage_width"":1015,""stage_height"":762},""event_count"":9,""game_time"":12672,""event_code"":4070}",0001e90f,9,4070,12672,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:09.673Z,"{""coordinates"":{""x"":810,""y"":611,""stage_width"":1015,""stage_height"":762},""event_count"":10,""game_time"":13389,""event_code"":4070}",0001e90f,10,4070,13389,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:09.930Z,"{""coordinates"":{""x"":827,""y"":584,""stage_width"":1015,""stage_height"":762},""event_count"":11,""game_time"":13639,""event_code"":4070}",0001e90f,11,4070,13639,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:10.157Z,"{""coordinates"":{""x"":823,""y"":615,""stage_width"":1015,""stage_height"":762},""event_count"":12,""game_time"":13872,""event_code"":4070}",0001e90f,12,4070,13872,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:10.414Z,"{""coordinates"":{""x"":832,""y"":614,""stage_width"":1015,""stage_height"":762},""event_count"":13,""game_time"":14122,""event_code"":4070}",0001e90f,13,4070,14122,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:10.648Z,"{""coordinates"":{""x"":875,""y"":631,""stage_width"":1015,""stage_height"":762},""event_count"":14,""game_time"":14356,""event_code"":4070}",0001e90f,14,4070,14356,Sandcastle Builder (Activity),Activity,MAGMAPEAK
